GrLivArea,TotalBath,BedroomAbvGr,OverallQual,Age,TotalSF,GarageCars,IsRemodeled,SalePrice
1710,2.5,3,7,5,2566,2,0,208500
1262,2.0,3,6,31,2524,2,0,181500
1786,2.5,3,7,7,2706,2,1,223500
1717,1.0,3,7,91,2473,3,1,140000
2198,2.5,4,8,8,3343,3,0,250000
1362,1.5,1,5,16,2158,2,1,143000
1694,2.0,3,8,3,3380,2,1,307000
2090,2.5,3,7,36,3197,2,0,200000
1774,2.0,2,7,77,2726,2,1,129900
1077,1.0,2,5,69,2068,1,1,118000
1040,1.0,3,5,43,2080,1,0,129500
2324,3.0,4,9,1,3499,3,1,345000
912,1.0,2,5,46,1824,1,0,144000
1494,2.0,3,7,1,2988,3,1,279500
1253,1.5,2,6,48,2506,1,0,157000
854,1.0,2,7,78,1686,2,1,132000
1004,1.0,2,6,40,2008,2,0,149000
1296,2.0,2,4,39,1296,2,0,90000
1114,1.5,3,5,4,2228,2,0,159000
1339,1.0,3,5,51,2368,1,1,139000
2376,3.5,4,8,1,3534,3,1,325300
1108,1.0,3,7,77,1745,1,1,139400
1795,2.0,3,8,6,3572,2,0,230000
1060,1.0,3,5,31,2100,2,0,129900
1060,1.0,3,5,42,2120,1,1,154000
1600,2.0,3,8,2,3166,3,0,256300
900,1.0,3,5,59,1800,2,1,134800
1704,2.0,3,8,3,3408,3,1,306000
1600,1.0,2,5,49,3084,1,1,207500
520,1.0,1,4,81,1040,1,1,68500
1317,1.0,3,4,88,1966,1,1,40000
1228,1.5,3,5,42,2456,1,1,149350
1234,2.0,3,8,1,2468,2,0,179900
1700,1.5,4,5,51,3098,2,0,165500
1561,2.0,2,9,2,3122,2,0,277500
2452,3.5,4,8,2,3569,3,1,309000
1097,1.5,3,5,15,2194,2,1,145000
1297,1.0,3,5,55,2594,2,1,153000
1057,1.0,3,5,57,2114,1,1,109000
1152,2.0,2,4,53,1152,0,0,82000
1324,2.0,3,6,41,2412,2,0,160000
1328,1.5,2,5,48,2678,1,0,170000
884,1.0,2,5,24,1724,2,0,144000
938,1.0,3,5,33,1876,1,1,130250
1150,1.0,3,5,47,2300,1,0,141000
1752,2.0,2,9,5,3504,2,0,319900
2149,1.5,1,7,6,3583,2,0,239686
1656,2.0,3,8,1,3312,3,0,249700
1452,2.0,2,4,89,2188,0,1,113000
955,1.0,3,5,41,1910,1,0,127000
1470,2.0,3,6,10,2264,2,0,177000
1176,1.0,3,6,72,1632,2,1,114500
816,1.0,2,5,47,1632,2,0,110000
1842,0.5,0,9,25,3684,3,1,385000
1360,1.0,3,5,52,1744,2,0,130000
1425,2.0,3,6,44,2850,2,0,180500
1739,2.5,3,8,10,2709,2,1,172500
1720,2.5,3,7,2,2580,2,0,196500
2945,3.5,3,10,0,4355,3,0,438780
780,1.0,2,5,36,1560,1,0,124900
1158,1.5,3,6,2,2316,2,0,158000
1111,1.0,3,5,87,1641,1,1,101000
1370,2.0,2,8,1,2740,2,0,202500
1710,2.0,3,7,89,2286,2,1,140000
2034,2.5,3,7,12,3091,2,1,219500
2473,2.5,4,8,3,3616,3,1,317000
2207,2.0,3,7,40,4154,2,1,180000
1479,2.0,3,7,4,2932,2,0,226000
747,1.0,2,4,65,1494,1,1,80000
